n_neighbors,n_components,min_dist,min_cluster_size,min_samples,silhouette,num_topics
10,15,0.0,30,25,0.011322908103466034,327
30,15,0.1,100,15,0.011322888545691967,90
15,5,0.1,100,25,0.011172222904860973,95
30,15,0.1,30,25,0.011163127608597279,253
10,10,0.1,100,25,0.011151131242513657,99
30,5,0.0,10,25,0.011141050606966019,345
15,15,0.1,10,15,0.011116373352706432,525
10,5,0.0,30,25,0.011096996255218983,329
15,15,0.1,100,35,0.011087797582149506,90
10,10,0.0,30,25,0.011066201142966747,327
30,10,0.0,100,15,0.011058387346565723,96
30,10,0.1,100,35,0.011047468520700932,84
15,10,0.1,50,35,0.011022644117474556,165
15,5,0.1,50,35,0.01101689226925373,182
10,10,0.1,100,15,0.010949637740850449,103
15,15,0.0,30,25,0.010932930745184422,315
30,5,0.1,30,15,0.010884745977818966,276
15,10,0.1,100,15,0.010864806361496449,94
30,10,0.1,10,25,0.010507214814424515,310
15,15,0.1,30,15,0.010489203967154026,300
30,15,0.1,10,15,0.01048245094716549,473
30,10,0.1,50,25,0.010447787120938301,172
15,10,0.1,50,25,0.010385928675532341,183
30,15,0.1,30,35,0.010384321212768555,219
30,5,0.0,30,35,0.010322829708456993,250
10,15,0.1,50,25,0.010273650288581848,183
15,10,0.1,100,35,0.010207604616880417,90
15,5,0.1,100,35,0.01019721943885088,92
10,15,0.1,100,35,0.010076644830405712,93
10,10,0.1,50,35,0.009992595762014389,169
30,15,0.1,50,35,0.009990219958126545,167
10,10,0.0,10,35,0.009885530918836594,305
10,15,0.1,30,25,0.009802517481148243,299
10,10,0.1,100,35,0.009531852789223194,96
15,10,0.0,30,35,0.009484522975981236,275
10,5,0.1,30,15,0.00943147111684084,321
30,10,0.1,10,15,0.00936071015894413,472
15,15,0.0,10,25,0.009353726170957088,386
15,15,0.1,50,35,0.009335733018815517,167
30,10,0.0,10,35,0.009296214208006859,268
30,5,0.1,100,35,0.009292764589190483,87
15,15,0.1,50,25,0.00928492471575737,185
15,15,0.0,30,35,0.009267261251807213,268
15,5,0.1,30,15,0.009259486570954323,302
15,10,0.1,30,15,0.009215639904141426,304
30,10,0.3,50,15,0.009045206941664219,145
10,15,0.1,50,35,0.008890174329280853,172
30,15,0.1,100,35,0.008755926974117756,87
30,15,0.1,100,25,0.008587523363530636,89
30,15,0.1,10,25,0.008560433983802795,309
30,5,0.1,100,15,0.00844571553170681,86
15,5,0.0,10,15,0.00842383410781622,593
10,10,0.1,30,15,0.008399402722716331,312
10,5,0.1,30,25,0.008305679075419903,296
10,5,0.1,100,35,0.008290671743452549,96
10,15,0.1,30,15,0.008265756070613861,318
30,5,0.1,100,25,0.008087237365543842,83
15,15,0.1,30,35,0.008086703717708588,225
10,15,0.0,10,35,0.008079450577497482,300
15,10,0.1,30,35,0.00797855481505394,228
10,10,0.0,10,25,0.007809716276824474,397
15,10,0.0,10,25,0.007647464983165264,396
15,15,0.1,30,25,0.007598698139190674,276
15,10,0.0,10,35,0.007311144378036261,296
10,15,0.1,30,35,0.007308667059987783,246
15,5,0.0,10,25,0.007253543008118868,384
15,10,0.1,30,25,0.007183530367910862,272
30,5,0.1,10,25,0.007179158739745617,320
10,5,0.0,10,25,0.007165907416492701,401
30,10,0.1,10,35,0.0069571794010698795,239
10,10,0.1,30,35,0.00681620929390192,238
30,5,0.1,10,35,0.006725571118295193,239
10,15,0.0,10,15,0.006713428534567356,631
